BrandName,Brand_ID,Year,TotalSales,Domestic,DollarSales,PricePerUnit,Mag,News,Outdoor,Broad,Print,Tier,TotalMinusSales,Firstintro,Marketshare,YearID
Absolut,15,1995,3000,0,352040,117.3467,25713.7,291.4,332.7,1,26005.1,1,60840,0,0.1339226,3
Absolut,15,1996,3340,0,370072,110.8,25658,177.6,625,1,25835.6,1,60532,0,0.1420068,4
Absolut,15,1997,3440,0,381152,110.8,27013.9,201.7,515.7,1,27215.6,1,60464,0,0.1467577,5
Absolut,15,1998,3630,0,419737,115.63,27617,308.2,1420.4,161.9,27925.2,1,60306,0,0.1461059,6
Absolut,15,1999,4050,0,468302,115.6301,30605.3,258.1,1416.8,70.3,30863.4,1,59918,0,0.1612839,7
Absolut,15,2000,4605,0,560025,121.6124,33971.3,533.4,1336.7,143.1,34504.7,1,59395,0,0.173368,8
Absolut,15,2001,4379,0,556550,127.0952,28559.8,231.3,1999,134.2,28791.1,1,59653,0,0.1575463,9
Absolut,15,2002,4475,0,594000,132.7374,30387.3,424.8,523.1,1,30812.1,1,59589,0,0.1504252,10
Absolut,15,2003,4488,0,620000,138.1462,29275,958.6,2819.4,315.5,30233.6,1,59608,0,0.1392448,11
Absolut,15,2004,4640,0,658880,142,31208.5,5.9,2185.1,2202.4,31214.4,1,59488,0,0.1343526,12
Absolut,15,2005,4636,0,688446,148.5,13159,0.3,1216.4,2344,13159.3,1,59524,0,0.1274397,13
Absolut,15,2006,4847,0,735532,151.75,17244.2,232.1,2250.3,3944.5,17476.3,1,59345,0,0.1244001,14
Absolut,15,2007,5013,0,760723,151.75,16024.8,624.9,2447.1,4534,16649.7,1,59211,0,0.1206034,15
Belvedere,22,2001,273,0,65650,240.4762,3498.1,1133.2,1,1,4631.3,1,63759,0,0.0098219,9
Belvedere,22,2002,306,0,75750,247.549,5439.7,1296.1,1,1,6735.8,1,63758,0,0.0102861,10
Belvedere,22,2003,339,0,81810,241.3274,5013.3,150.8,1,1,5164.1,1,63757,0,0.0105178,11
Belvedere,22,2004,369,0,88880,240.8672,6729.6,132.7,1,1,6862.3,1,63759,0,0.0106845,12
Belvedere,22,2005,365,0,75719,207.4493,1163.6,1,1,2496.1,1164.6,1,63795,0,0.0100335,13
Belvedere,22,2006,381,0,80562,211.4488,1,14.5,14.5,2878,15.5,1,63811,0,0.0097785,14
Belvedere,22,2007,410,0,88330,215.439,6964.3,2107.1,185.7,2157.6,9071.4,1,63814,0,0.0098638,15
Chopin,25,2001,42,0,10100,240.4762,3456.8,324.5,1,1,3781.3,1,63990,0,0.0015111,9
Chopin,25,2002,47,0,11312,240.6808,2567.5,946.6,1,1,3514.1,1,64017,0,0.0015799,10
Chopin,25,2003,59,0,14140,239.661,1,1,1,1,2,1,64037,0,0.0018305,11
Chopin,25,2004,65,0,15554,239.2923,1,1,1,1,2,1,64063,0,0.0018821,12
Chopin,25,2005,61,0,12654,207.4426,2227.1,318.1,1,1,2545.2,1,64099,0,0.0016768,13
Chopin,25,2006,61,0,14167,232.2459,691.4,1,1,1,692.4,1,64131,0,0.0015656,14
Chopin,25,2007,61,0,15266,250.2623,1,27.3,1,1,28.3,1,64163,0,0.0014675,15
Grey Goose,16,1999,100,0,17350,173.5,1475.7,1743.4,1,1,3219.1,1,63868,1,0.0039823,7
Grey Goose,16,2000,275,0,47713,173.5018,3037.5,952.8,1,1,3990.3,1,63725,0,0.0103531,8
